id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
266,"Deadlines are piling up, I feel like I’ll collapse",stressed,pressure;overload,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.97
267,Everything is going well in life,happy,खुशी;joy,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.79
268,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,काम;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.73
269,Working on routine assignments,neutral,usual;routine,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.87
270,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;उत्साहित,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.8
271,Enjoyed a wonderful day outdoors,happy,friends;joy,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.72
272,Everything is going well in life,happy,well-being;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.81
273,"Classes were normal today, nothing much happened",neutral,nothing special;सामान्य,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.92
274,मुझे लगता है कि सब बेकार है,depressed,dark;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.88
275,"I got an A on my exam, feeling amazing!",happy,friends;joy,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.8
276,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.88
277,I can't stop worrying about the interview tomorrow,anxious,anxious;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.76
278,I can't stop worrying about the interview tomorrow,anxious,ghabraahat;anxious,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.99
279,Enjoyed a wonderful day outdoors,happy,amazing;joy,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.78
280,I have too many assignments and can't finish on time,stressed,pressure;deadlines,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.96
281,Ready to tackle all my assignments,motivated,उत्साहित;enthusiastic,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.9
282,I'm tired all the time and don't want to do anything,depressed,dark;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.72
283,मुझे बहुत खुशी हो रही है आज,happy,well-being;amazing,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.72
284,I can achieve my goals if I work hard,motivated,enthusiastic;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.82
285,Ready to tackle all my assignments,motivated,enthusiastic;उत्साहित,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.95
286,I'm tired all the time and don't want to do anything,depressed,बेकार;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.72
287,Ready to tackle all my assignments,motivated,enthusiastic;goal,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.75
288,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,tasks;काम,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.72
289,I can achieve my goals if I work hard,motivated,enthusiastic;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.88
290,Ready to tackle all my assignments,motivated,enthusiastic;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.87
291,"I got an A on my exam, feeling amazing!",happy,खुशी;amazing,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.77
292,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.81
293,Had a great time with friends today!,happy,amazing;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.76
294,"I got an A on my exam, feeling amazing!",happy,enjoyed;खुशी,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.74
295,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;काम,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.98
296,Everything feels meaningless and dark,depressed,meaningless;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.78
297,I don't see the point in anything anymore,depressed,meaningless;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.77
298,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,nervous;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.86
299,Feeling so lonely even when surrounded by people,depressed,tired;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.72
300,"Attending usual lectures, nothing new",neutral,usual;सामान्य,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.72
301,मुझे लगता है कि सब बेकार है,depressed,बेकार;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.8
302,Everything is going well in life,happy,friends;enjoyed,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.96
303,"Deadlines are piling up, I feel like I’ll collapse",stressed,tasks;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.75
304,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.77
305,Excited to learn new things today,motivated,enthusiastic;drive,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.88
306,I feel overwhelmed with all the tasks,stressed,संभाल;overload,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.74
307,Excited to learn new things today,motivated,excited;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.71
308,"Deadlines are piling up, I feel like I’ll collapse",stressed,deadlines;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.76
309,Enjoyed a wonderful day outdoors,happy,well-being;joy,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.86
310,I can achieve my goals if I work hard,motivated,उत्साहित;drive,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.79
311,"Deadlines are piling up, I feel like I’ll collapse",stressed,overload;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.83
312,I'm tired all the time and don't want to do anything,depressed,lonely;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.91
313,Feeling so lonely even when surrounded by people,depressed,lonely;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.73
314,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;ghabraahat,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.74
315,I have too many assignments and can't finish on time,stressed,काम;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.98
316,My heart is racing thinking about the exam,anxious,परेशान;ghabraahat,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.84
317,Enjoyed a wonderful day outdoors,happy,खुशी;amazing,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.73
318,Working on routine assignments,neutral,सामान्य;ordinary,Got it — sounds like a steady day.,Reflect on small achievements.,0.8
319,I have too many assignments and can't finish on time,stressed,काम;tasks,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.84
320,Had a great time with friends today!,happy,joy;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.91
321,"Just finished my homework, pretty regular day",neutral,routine;सामान्य,Got it — sounds like a steady day.,Reflect on small achievements.,0.86
322,I'm tired all the time and don't want to do anything,depressed,dark;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.83
323,"I got an A on my exam, feeling amazing!",happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.98
324,"Just finished my homework, pretty regular day",neutral,normal;usual,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.76
325,Enjoyed a wonderful day outdoors,happy,well-being;joy,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.74
326,Feeling so lonely even when surrounded by people,depressed,tired;बेकार,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.96
327,My heart is racing thinking about the exam,anxious,परेशान;ghabraahat,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.99
328,I can achieve my goals if I work hard,motivated,goal;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.85
329,Excited to learn new things today,motivated,enthusiastic;उत्साहित,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.8
330,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,tasks;pressure,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.88
331,Enjoyed a wonderful day outdoors,happy,amazing;well-being,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.91
332,Enjoyed a wonderful day outdoors,happy,friends;well-being,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.88
333,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,nothing special;ordinary,Got it — sounds like a steady day.,Reflect on small achievements.,0.97
334,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.74
335,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,उत्साहित;goal,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.95
336,Feeling pumped to finish my project tonight,motivated,excited;drive,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.86
337,Ready to tackle all my assignments,motivated,goal;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.83
338,"I got an A on my exam, feeling amazing!",happy,well-being;amazing,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.9
339,I can achieve my goals if I work hard,motivated,goal;उत्साहित,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.78
340,I don't see the point in anything anymore,depressed,dark;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.9
341,"Just finished my homework, pretty regular day",neutral,सामान्य;normal,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.78
342,I feel overwhelmed with all the tasks,stressed,संभाल;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.94
343,My heart is racing thinking about the exam,anxious,worried;ghabraahat,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.8
344,"Just finished my homework, pretty regular day",neutral,nothing special;सामान्य,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.94
345,I'm tired all the time and don't want to do anything,depressed,meaningless;dark,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.88
346,मुझे बहुत खुशी हो रही है आज,happy,friends;joy,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.77
347,I can't stop worrying about the interview tomorrow,anxious,worried;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.84
348,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;goal,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.89
349,"Attending usual lectures, nothing new",neutral,nothing special;ordinary,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.78
350,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;tasks,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.91
351,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,काम;overload,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.93
352,My heart is racing thinking about the exam,anxious,worried;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.87
353,Everything feels meaningless and dark,depressed,बेकार;tired,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.96
354,Feeling anxious about meeting new people,anxious,heart racing;ghabraahat,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.8
355,Ready to tackle all my assignments,motivated,excited;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.7
356,Everything feels meaningless and dark,depressed,tired;lonely,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.95
357,"Attending usual lectures, nothing new",neutral,usual;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.89
358,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,heart racing;ghabraahat,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.78
359,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.91
360,I have too many assignments and can't finish on time,stressed,संभाल;pressure,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.72
361,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,pressure;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.85
362,I can achieve my goals if I work hard,motivated,excited;energy,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.81
363,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,nervous;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.92
364,"I got an A on my exam, feeling amazing!",happy,खुशी;well-being,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.93
365,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,anxious;परेशान,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.83
366,I can achieve my goals if I work hard,motivated,energy;goal,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.94
367,मुझे बहुत खुशी हो रही है आज,happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.8
368,Enjoyed a wonderful day outdoors,happy,joy;friends,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.84
369,Enjoyed a wonderful day outdoors,happy,joy;खुशी,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.82
370,Had a great time with friends today!,happy,well-being;खुशी,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.91
371,"Just finished my homework, pretty regular day",neutral,routine;ordinary,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.71
372,मुझे लगता है कि सब बेकार है,depressed,tired;hopeless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.71
373,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,ordinary;सामान्य,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.83
374,"Attending usual lectures, nothing new",neutral,routine;usual,Got it — sounds like a steady day.,Reflect on small achievements.,0.95
375,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,tasks;काम,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.91
376,I can't stop worrying about the interview tomorrow,anxious,worried;ghabraahat,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.91
377,Working on routine assignments,neutral,सामान्य;ordinary,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.8
378,I don't see the point in anything anymore,depressed,meaningless;hopeless,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.82
379,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,overload;deadlines,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.71
380,Had a great time with friends today!,happy,friends;joy,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.77
381,I can't stop worrying about the interview tomorrow,anxious,nervous;परेशान,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.94
382,Excited to learn new things today,motivated,enthusiastic;goal,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.94
383,My heart is racing thinking about the exam,anxious,nervous;परेशान,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.79
384,I feel overwhelmed with all the tasks,stressed,tasks;overload,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.82
385,"Classes were normal today, nothing much happened",neutral,normal;सामान्य,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.9
386,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,normal;सामान्य,Got it — sounds like a steady day.,Reflect on small achievements.,0.84
387,My heart is racing thinking about the exam,anxious,anxious;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.86
388,Working on routine assignments,neutral,usual;ordinary,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.77
389,मुझे लगता है कि सब बेकार है,depressed,बेकार;dark,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.91
390,I can't stop worrying about the interview tomorrow,anxious,ghabraahat;heart racing,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.87
391,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,tasks;संभाल,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.76
392,Everything feels meaningless and dark,depressed,hopeless;lonely,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.73
393,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,nothing special;usual,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.82
394,Feeling anxious about meeting new people,anxious,ghabraahat;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.85
395,Everything feels meaningless and dark,depressed,dark;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.84
396,Ready to tackle all my assignments,motivated,enthusiastic;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.82
397,मुझे बहुत खुशी हो रही है आज,happy,enjoyed;friends,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.86
398,Everything is going well in life,happy,enjoyed;खुशी,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.76
399,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.89
400,I can achieve my goals if I work hard,motivated,enthusiastic;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.91
401,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,nothing special;normal,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.91
402,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,usual;routine,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.94
403,"Deadlines are piling up, I feel like I’ll collapse",stressed,deadlines;काम,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.77
404,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;drive,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.81
405,Everything is going well in life,happy,खुशी;enjoyed,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.85
406,"Classes were normal today, nothing much happened",neutral,routine;usual,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.86
407,मुझे लगता है कि सब बेकार है,depressed,tired;बेकार,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.97
408,मुझे बहुत खुशी हो रही है आज,happy,friends;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.77
409,Everything feels meaningless and dark,depressed,बेकार;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.83
410,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;worried,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.92
411,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,काम;संभाल,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.72
412,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.93
413,Had a great time with friends today!,happy,well-being;joy,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.96
414,Excited to learn new things today,motivated,उत्साहित;enthusiastic,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.9
415,I'm tired all the time and don't want to do anything,depressed,tired;hopeless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.7
416,Feeling anxious about meeting new people,anxious,nervous;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.75
417,Feeling anxious about meeting new people,anxious,heart racing;परेशान,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.92
418,I can't stop worrying about the interview tomorrow,anxious,परेशान;ghabraahat,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.83
419,I have too many assignments and can't finish on time,stressed,tasks;संभाल,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.98
420,मुझे लगता है कि सब बेकार है,depressed,meaningless;dark,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.77
421,Enjoyed a wonderful day outdoors,happy,खुशी;friends,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.89
422,I feel overwhelmed with all the tasks,stressed,pressure;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.72
423,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;nervous,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.79
424,"Deadlines are piling up, I feel like I’ll collapse",stressed,deadlines;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.92
425,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.86
426,Enjoyed a wonderful day outdoors,happy,joy;enjoyed,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.86
427,Everything is going well in life,happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.82
428,I feel overwhelmed with all the tasks,stressed,overload;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.9
429,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.74
430,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.93
431,Everything feels meaningless and dark,depressed,lonely;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.76
432,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;deadlines,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.94
433,"Just finished my homework, pretty regular day",neutral,सामान्य;normal,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.98
434,My heart is racing thinking about the exam,anxious,ghabraahat;परेशान,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.84
435,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;anxious,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.88
436,मुझे बहुत खुशी हो रही है आज,happy,amazing;खुशी,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.81
437,मुझे बहुत खुशी हो रही है आज,happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.92
438,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.94
439,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;काम,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.79
440,I don't see the point in anything anymore,depressed,meaningless;बेकार,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.83
441,Enjoyed a wonderful day outdoors,happy,well-being;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.97
442,Ready to tackle all my assignments,motivated,goal;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.96
443,Everything is going well in life,happy,enjoyed;joy,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.89
444,I don't see the point in anything anymore,depressed,meaningless;tired,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.99
445,Ready to tackle all my assignments,motivated,enthusiastic;उत्साहित,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.73
